PROV277;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;x
PROV278;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;x
PROV334;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;x
PROV336;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;x
PROV337;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV356;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;x
PROV357;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;x
PROV359;Libau;Libau;Libau;Libau;Libau;Libau;Libau;Libau;Libau;Libau;Libau;Libau;Libau;x
PROV364;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;x
PROV366;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;x
PROV371;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;x
PROV372;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;x
PROV373;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;x
PROV393;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;x
PROV400;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;x
PROV401;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;x
PROV458;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;Burdeos;x
PROV467;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;x
PROV468;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;x
PROV472;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;x
PROV552;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;Chociebuz;x
PROV619;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;Bécs;x
PROV624;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;Kismarton;x
PROV627;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;Karlowe Wary;x
PROV632;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;x
PROV636;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;x
PROV647;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;x
PROV654;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;x
PROV659;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;x
PROV674;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;Konstanca;x
PROV683;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;x
PROV684;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;x
PROV685;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;x
PROV687;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;Zgorzelec;x
PROV689;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;x
PROV690;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;x
PROV699;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;x
PROV702;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV776;Belovár;Belovár;Belovár;Belovár;Belovár;Belovár;Belovár;Belovár;Belovár;Belovár;Belovár;Belovár;Belovár;x
PROV779;Eszék;Eszék;Eszék;Eszék;Eszék;Eszék;Eszék;Eszék;Eszék;Eszék;Eszék;Eszék;Eszék;x
PROV794;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;x
PROV828;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;x
PROV850;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;x
PROV851;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;x
PROV852;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;x
PROV853;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;x
PROV860;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;x
PROV958;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;x
PROV962;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;x
PROV1020;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;Nijgar;x
PROV1036;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;x
PROV1039;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;x
PROV1044;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;x
PROV2533;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;x
PROV2538;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;x
